Variable,Mean,Std,Min,Max
open,46841.187219954074,43831.916199104,2227.76,97864.0
high,46851.77660761089,43841.31612241892,2334.2,97967.5
low,46830.43220883737,43822.37684008865,2202.4,97767.0
close,46841.02471874999,43831.79217274145,2235.7,97874.0
volume,380.8440674707302,2277.7764100420763,0.0,325858.196
